Member_number,Date,itemDescription,Cost,Date_Format
4030,20-May-14,brown bread,1.8,41779
3044,20-May-14,rolls/buns,2,41779
1636,20-May-14,root vegetables,8,41779
4851,20-May-14,sausage,2.49,41779
1069,20-May-14,brown bread,1.8,41779
2339,20-May-14,ham,11,41779
4652,20-May-14,baking powder,4,41779
2746,20-May-14,frozen meals,6,41779
1910,20-May-14,rolls/buns,2,41779
1795,20-May-14,dessert,11,41779
4222,20-May-14,other vegetables,6,41779
4662,20-May-14,bottled water,3,41779
3956,20-May-14,chocolate,6,41779
3450,20-May-14,pastry,6,41779
4865,20-May-14,whipped/sour cream,8,41779
1395,20-May-14,shopping bags,1.8,41779
1924,20-May-14,white bread,1.4,41779
1569,20-May-14,berries,7.5,41779
3711,20-May-14,domestic eggs,5,41779
1450,20-May-14,canned beer,4.5,41779
4237,20-May-14,pastry,6,41779
4563,20-May-14,margarine,6,41779
4030,20-May-14,onions,4,41779
3044,20-May-14,shopping bags,1.8,41779
1636,20-May-14,napkins,6,41779
4851,20-May-14,spread cheese,9,41779
1069,20-May-14,fruit/vegetable juice,11,41779
2339,20-May-14,whole milk,3,41779
4652,20-May-14,bottled water,3,41779
2746,20-May-14,pickled vegetables,15,41779
1910,20-May-14,other vegetables,6,41779
4851,20-May-14,chocolate,6,41779
2394,20-May-14,canned beer,4.5,41779
4278,20-May-14,white wine,36,41779
2339,20-May-14,sliced cheese,5,41779
3956,20-May-14,processed cheese,13,41779
2339,20-May-14,baking powder,4,41779
2394,20-May-14,semi-finished bread,3,41779
4278,20-May-14,canned vegetables,8,41779
3246,21-May-14,rolls/buns,2,41780
3485,21-May-14,pork,9,41780
1916,21-May-14,citrus fruit,4,41780
2644,21-May-14,Instant food products,17,41780
1625,21-May-14,sausage,2.49,41780
2056,21-May-14,root vegetables,8,41780
4807,21-May-14,curd,4,41780
2380,21-May-14,long life bakery product,7,41780
2693,21-May-14,white bread,1.4,41780
4430,21-May-14,citrus fruit,4,41780
1862,21-May-14,seasonal products,15,41780
1687,21-May-14,domestic eggs,5,41780
3959,21-May-14,rolls/buns,2,41780
2713,21-May-14,frozen meals,6,41780
3082,21-May-14,whole milk,3,41780
3246,21-May-14,root vegetables,8,41780
3485,21-May-14,napkins,6,41780
1916,21-May-14,whole milk,3,41780
2644,21-May-14,coffee,16,41780
1625,21-May-14,butter,2.5,41780
2056,21-May-14,whole milk,3,41780
4807,21-May-14,frozen fish,16,41780
2380,21-May-14,whole milk,3,41780
2693,21-May-14,mayonnaise,5,41780
4430,21-May-14,cream cheese ,19,41780
1862,21-May-14,oil,6,41780
1687,21-May-14,UHT-milk,9,41780
3959,21-May-14,instant coffee,9,41780
2713,21-May-14,canned beer,4.5,41780
3082,21-May-14,fruit/vegetable juice,11,41780
3101,21-May-14,fruit/vegetable juice,11,41780
1862,21-May-14,liquor (appetizer),20,41780
2056,21-May-14,potato products,3,41780
1862,21-May-14,cookware,7,41780
3101,21-May-14,chocolate,6,41780
3621,22-May-14,pork,9,41781
1108,22-May-14,pastry,6,41781
2443,22-May-14,pip fruit,4,41781
1142,22-May-14,newspapers,3,41781
2371,22-May-14,UHT-milk,9,41781
3116,22-May-14,ham,11,41781
4368,22-May-14,coffee,16,41781
3799,22-May-14,hamburger meat,6,41781
3414,22-May-14,whipped/sour cream,8,41781
1170,22-May-14,whole milk,3,41781
2648,22-May-14,soda,7,41781
4274,22-May-14,chicken,7,41781
1023,22-May-14,male cosmetics,21,41781
3487,22-May-14,whipped/sour cream,8,41781
3916,22-May-14,tropical fruit,5,41781
1283,22-May-14,pork,9,41781
3621,22-May-14,bottled water,3,41781
1108,22-May-14,canned beer,4.5,41781
2443,22-May-14,white wine,36,41781
1142,22-May-14,soups,8,41781
2371,22-May-14,other vegetables,6,41781
3116,22-May-14,soda,7,41781
4368,22-May-14,yogurt,2.65,41781
3799,22-May-14,tropical fruit,5,41781
3414,22-May-14,whole milk,3,41781
1170,22-May-14,canned beer,4.5,41781
2648,22-May-14,coffee,16,41781
4274,22-May-14,whipped/sour cream,8,41781
1023,22-May-14,curd,4,41781
3487,22-May-14,frozen vegetables,11,41781
3916,22-May-14,onions,4,41781
1283,22-May-14,bottled water,3,41781
2729,22-May-14,soft cheese,9,41781
2672,22-May-14,soda,7,41781
3414,22-May-14,cream cheese ,19,41781
2443,22-May-14,white wine,36,41781
1108,22-May-14,whipped/sour cream,8,41781
1108,22-May-14,grapes,8,41781
3414,22-May-14,napkins,6,41781
2729,22-May-14,spices,8,41781
2672,22-May-14,flour,21,41781
3116,22-May-14,pickled vegetables,15,41781
4842,23-May-14,sausage,2.49,41782
4948,23-May-14,root vegetables,8,41782
3350,23-May-14,rolls/buns,2,41782
3048,23-May-14,pastry,6,41782
1410,23-May-14,yogurt,2.65,41782
2142,23-May-14,bottled water,3,41782
2715,23-May-14,pip fruit,4,41782
1146,23-May-14,yogurt,2.65,41782
1928,23-May-14,bottled beer,31,41782
1554,23-May-14,pip fruit,4,41782
1711,23-May-14,oil,6,41782
4099,23-May-14,root vegetables,8,41782
4116,23-May-14,dishes,7,41782
2873,23-May-14,rolls/buns,2,41782
2666,23-May-14,bottled beer,31,41782
4847,23-May-14,rolls/buns,2,41782
1053,23-May-14,whole milk,3,41782
3016,23-May-14,other vegetables,6,41782
3733,23-May-14,white bread,1.4,41782
4842,23-May-14,frozen vegetables,11,41782
4948,23-May-14,curd,4,41782
3350,23-May-14,newspapers,3,41782
3048,23-May-14,meat spreads,15,41782
1410,23-May-14,condensed milk,2.5,41782
2142,23-May-14,seasonal products,15,41782
2715,23-May-14,rolls/buns,2,41782
1146,23-May-14,soda,7,41782
1928,23-May-14,newspapers,3,41782
1554,23-May-14,soda,7,41782
1711,23-May-14,herbs,8,41782
4099,23-May-14,Instant food products,17,41782
4116,23-May-14,pastry,6,41782
2873,23-May-14,whole milk,3,41782
2666,23-May-14,frozen vegetables,11,41782
4847,23-May-14,shopping bags,1.8,41782
1053,23-May-14,sugar,16,41782
3016,23-May-14,pastry,6,41782
3733,23-May-14,butter,2.5,41782
2175,23-May-14,pastry,6,41782
4445,23-May-14,flower (seeds),18,41782
4735,23-May-14,sliced cheese,5,41782
4761,23-May-14,frozen fish,16,41782
4096,23-May-14,pasta,11,41782
4587,23-May-14,salt,3,41782
2873,23-May-14,frozen vegetables,11,41782
2873,23-May-14,newspapers,3,41782
2175,23-May-14,frozen fish,16,41782
4445,23-May-14,domestic eggs,5,41782
4735,23-May-14,skin care,17,41782
4761,23-May-14,ketchup,4,41782
4096,23-May-14,margarine,6,41782
4587,23-May-14,seasonal products,15,41782
2715,23-May-14,yogurt,2.65,41782
1146,23-May-14,yogurt,2.65,41782
1928,23-May-14,napkins,6,41782
4410,24-May-14,rolls/buns,2,41783
3869,24-May-14,newspapers,3,41783
4656,24-May-14,rolls/buns,2,41783
4169,24-May-14,whole milk,3,41783
1466,24-May-14,root vegetables,8,41783
3138,24-May-14,other vegetables,6,41783
1887,24-May-14,oil,6,41783
3916,24-May-14,canned beer,4.5,41783
1501,24-May-14,chicken,7,41783
1058,24-May-14,chicken,7,41783
2974,24-May-14,tropical fruit,5,41783
2133,24-May-14,other vegetables,6,41783
4709,24-May-14,citrus fruit,4,41783
1507,24-May-14,yogurt,2.65,41783
4489,24-May-14,curd,4,41783
1747,24-May-14,root vegetables,8,41783
1764,24-May-14,UHT-milk,9,41783
2957,24-May-14,frozen vegetables,11,41783
2613,24-May-14,domestic eggs,5,41783
4410,24-May-14,candy,11,41783
3869,24-May-14,detergent,11,41783
4656,24-May-14,other vegetables,6,41783
4169,24-May-14,canned beer,4.5,41783
1466,24-May-14,root vegetables,8,41783
3138,24-May-14,coffee,16,41783
1887,24-May-14,bottled beer,31,41783
3916,24-May-14,dishes,7,41783
1501,24-May-14,baking powder,4,41783
1058,24-May-14,other vegetables,6,41783
2974,24-May-14,frozen vegetables,11,41783
2133,24-May-14,cat food,9,41783
4709,24-May-14,other vegetables,6,41783
1507,24-May-14,domestic eggs,5,41783
4489,24-May-14,bottled water,3,41783
1747,24-May-14,other vegetables,6,41783
1764,24-May-14,coffee,16,41783
2957,24-May-14,margarine,6,41783
2613,24-May-14,yogurt,2.65,41783
2133,24-May-14,bottled water,3,41783
4371,24-May-14,frozen vegetables,11,41783
1507,24-May-14,frozen vegetables,11,41783
4489,24-May-14,other vegetables,6,41783
4410,24-May-14,onions,4,41783
1507,24-May-14,fruit/vegetable juice,11,41783
4489,24-May-14,white bread,1.4,41783
4371,24-May-14,butter,2.5,41783
2383,25-May-14,beef,8,41784
2855,25-May-14,tropical fruit,5,41784
4075,25-May-14,other vegetables,6,41784
3399,25-May-14,brown bread,1.8,41784
1339,25-May-14,grapes,8,41784
3068,25-May-14,beverages,36,41784
1103,25-May-14,chicken,7,41784
4376,25-May-14,fruit/vegetable juice,11,41784
1212,25-May-14,beef,8,41784
1480,25-May-14,beef,8,41784
1785,25-May-14,curd,4,41784
2438,25-May-14,tropical fruit,5,41784
2060,25-May-14,salty snack,6,41784
1136,25-May-14,instant coffee,9,41784
4495,25-May-14,long life bakery product,7,41784
1204,25-May-14,whole milk,3,41784
3051,25-May-14,canned beer,4.5,41784
3679,25-May-14,rolls/buns,2,41784
2185,25-May-14,citrus fruit,4,41784
2708,25-May-14,coffee,16,41784
2357,25-May-14,bottled beer,31,41784
3745,25-May-14,specialty cheese,6,41784
2162,25-May-14,whole milk,3,41784
2383,25-May-14,condensed milk,2.5,41784
2855,25-May-14,UHT-milk,9,41784
4075,25-May-14,margarine,6,41784
3399,25-May-14,rolls/buns,2,41784
1339,25-May-14,frozen vegetables,11,41784
3068,25-May-14,whole milk,3,41784
1103,25-May-14,pastry,6,41784
4376,25-May-14,whipped/sour cream,8,41784
1212,25-May-14,domestic eggs,5,41784
1480,25-May-14,grapes,8,41784
1785,25-May-14,other vegetables,6,41784
2438,25-May-14,rolls/buns,2,41784
2060,25-May-14,soups,8,41784
1136,25-May-14,shopping bags,1.8,41784
4495,25-May-14,pip fruit,4,41784
1204,25-May-14,waffles,7,41784
3051,25-May-14,salty snack,6,41784
3679,25-May-14,salty snack,6,41784
2185,25-May-14,other vegetables,6,41784
2708,25-May-14,coffee,16,41784
2357,25-May-14,frozen meals,6,41784
3745,25-May-14,bottled water,3,41784
2162,25-May-14,dog food,26,41784
2831,25-May-14,fruit/vegetable juice,11,41784
4331,25-May-14,coffee,16,41784
1085,25-May-14,yogurt,2.65,41784
4993,25-May-14,rolls/buns,2,41784
4376,25-May-14,hygiene articles,5,41784
3399,25-May-14,soda,7,41784
3399,25-May-14,whole milk,3,41784
1339,25-May-14,vinegar,7,41784
3068,25-May-14,pasta,11,41784
1103,25-May-14,candles,7,41784
4495,25-May-14,oil,6,41784
2831,25-May-14,margarine,6,41784
4331,25-May-14,margarine,6,41784
1085,25-May-14,newspapers,3,41784
4993,25-May-14,shopping bags,1.8,41784
2060,25-May-14,brown bread,1.8,41784
3561,26-May-14,frankfurter,3,41785
4494,26-May-14,chicken,7,41785
4154,26-May-14,white bread,1.4,41785
4178,26-May-14,popcorn,6,41785
3081,26-May-14,canned fish,7,41785
2063,26-May-14,onions,4,41785
3646,26-May-14,newspapers,3,41785
2629,26-May-14,whole milk,3,41785
2545,26-May-14,citrus fruit,4,41785
2666,26-May-14,whole milk,3,41785
2924,26-May-14,root vegetables,8,41785
2784,26-May-14,whole milk,3,41785
3338,26-May-14,hamburger meat,6,41785
1497,26-May-14,packaged fruit/vegetables,6,41785
3793,26-May-14,whole milk,3,41785
2758,26-May-14,UHT-milk,9,41785
2269,26-May-14,sliced cheese,5,41785
3115,26-May-14,frozen vegetables,11,41785
2522,26-May-14,pasta,11,41785
3561,26-May-14,brown bread,1.8,41785
4494,26-May-14,sugar,16,41785
4154,26-May-14,mustard,9,41785
4178,26-May-14,butter,2.5,41785
3081,26-May-14,specialty cheese,6,41785
2063,26-May-14,other vegetables,6,41785
3646,26-May-14,whipped/sour cream,8,41785
2629,26-May-14,candy,11,41785
2545,26-May-14,whole milk,3,41785
2666,26-May-14,chocolate,6,41785
2924,26-May-14,sliced cheese,5,41785
2784,26-May-14,whipped/sour cream,8,41785
3338,26-May-14,pasta,11,41785
1497,26-May-14,tea,7,41785
3793,26-May-14,soda,7,41785
2758,26-May-14,flour,21,41785
2269,26-May-14,bottled water,3,41785
3115,26-May-14,sugar,16,41785
2522,26-May-14,soda,7,41785
1235,26-May-14,butter,2.5,41785
1456,26-May-14,whipped/sour cream,8,41785
2581,26-May-14,bottled water,3,41785
4562,26-May-14,female sanitary products,6,41785
3764,26-May-14,sugar,16,41785
2924,26-May-14,newspapers,3,41785
2784,26-May-14,domestic eggs,5,41785
3081,26-May-14,yogurt,2.65,41785
3081,26-May-14,specialty vegetables,10,41785
2924,26-May-14,shopping bags,1.8,41785
2784,26-May-14,house keeping products,11,41785
1235,26-May-14,roll products ,9,41785
1456,26-May-14,softener,11,41785
2581,26-May-14,dessert,11,41785
4562,26-May-14,soda,7,41785
3764,26-May-14,bottled water,3,41785
3569,27-May-14,frankfurter,3,41786
2963,27-May-14,citrus fruit,4,41786
1825,27-May-14,zwieback,8,41786
3982,27-May-14,meat,21,41786
4394,27-May-14,pastry,6,41786
3116,27-May-14,ham,11,41786
3312,27-May-14,rolls/buns,2,41786
2493,27-May-14,whole milk,3,41786
4522,27-May-14,other vegetables,6,41786
2917,27-May-14,yogurt,2.65,41786
4370,27-May-14,yogurt,2.65,41786
2967,27-May-14,whole milk,3,41786
2617,27-May-14,chewing gum,3,41786
2029,27-May-14,yogurt,2.65,41786
3083,27-May-14,waffles,7,41786
2543,27-May-14,root vegetables,8,41786
3582,27-May-14,rolls/buns,2,41786
1018,27-May-14,berries,7.5,41786
3569,27-May-14,bottled water,3,41786
2963,27-May-14,frozen vegetables,11,41786
1825,27-May-14,salty snack,6,41786
3982,27-May-14,dessert,11,41786
4394,27-May-14,brown bread,1.8,41786
3116,27-May-14,chewing gum,3,41786
3312,27-May-14,tidbits,27,41786
2493,27-May-14,hard cheese,15,41786
4522,27-May-14,soda,7,41786
2917,27-May-14,rolls/buns,2,41786
4370,27-May-14,curd,4,41786
2967,27-May-14,oil,6,41786
2617,27-May-14,frozen vegetables,11,41786
2029,27-May-14,bottled water,3,41786
3083,27-May-14,fruit/vegetable juice,11,41786
2543,27-May-14,whipped/sour cream,8,41786
3582,27-May-14,whole milk,3,41786
1018,27-May-14,cake bar,11,41786
2918,27-May-14,rolls/buns,2,41786
2766,27-May-14,candles,7,41786
4014,27-May-14,yogurt,2.65,41786
3560,27-May-14,light bulbs,7,41786
3116,27-May-14,frozen vegetables,11,41786
3312,27-May-14,margarine,6,41786
2493,27-May-14,soda,7,41786
4370,27-May-14,pastry,6,41786
2918,27-May-14,waffles,7,41786
2766,27-May-14,coffee,16,41786
4014,27-May-14,misc. beverages,21,41786
3560,27-May-14,detergent,11,41786
4594,28-May-14,whole milk,3,41787
4809,28-May-14,chicken,7,41787
1750,28-May-14,beef,8,41787
2408,28-May-14,other vegetables,6,41787
4070,28-May-14,cake bar,11,41787
4836,28-May-14,chocolate,6,41787
1218,28-May-14,meat,21,41787
2349,28-May-14,yogurt,2.65,41787
4973,28-May-14,yogurt,2.65,41787
2329,28-May-14,misc. beverages,21,41787
2849,28-May-14,pip fruit,4,41787
1971,28-May-14,white wine,36,41787
4512,28-May-14,pip fruit,4,41787
2954,28-May-14,fruit/vegetable juice,11,41787
2439,28-May-14,canned fruit,11,41787
1930,28-May-14,bottled water,3,41787
1428,28-May-14,other vegetables,6,41787
3366,28-May-14,chewing gum,3,41787
1594,28-May-14,specialty bar,4,41787
1509,28-May-14,citrus fruit,4,41787
4594,28-May-14,soda,7,41787
4809,28-May-14,margarine,6,41787
1750,28-May-14,shopping bags,1.8,41787
2408,28-May-14,rolls/buns,2,41787
4070,28-May-14,butter milk,2.65,41787
4836,28-May-14,curd,4,41787
1218,28-May-14,cling film/bags,2,41787
2349,28-May-14,whole milk,3,41787
4973,28-May-14,brown bread,1.8,41787
2329,28-May-14,newspapers,3,41787
2849,28-May-14,sauces,5.5,41787
1971,28-May-14,dessert,11,41787
4512,28-May-14,seasonal products,15,41787
2954,28-May-14,soda,7,41787
2439,28-May-14,dog food,26,41787
1930,28-May-14,soda,7,41787
1428,28-May-14,soda,7,41787
3366,28-May-14,softener,11,41787
1594,28-May-14,yogurt,2.65,41787
1509,28-May-14,domestic eggs,5,41787
2508,28-May-14,frozen vegetables,11,41787
2548,28-May-14,waffles,7,41787
4650,28-May-14,pastry,6,41787
4230,28-May-14,pastry,6,41787
4836,28-May-14,salty snack,6,41787
1218,28-May-14,curd,4,41787
4594,28-May-14,tea,7,41787
2508,28-May-14,dessert,11,41787
2548,28-May-14,flour,21,41787
4650,28-May-14,roll products ,9,41787
4230,28-May-14,canned beer,4.5,41787
4512,28-May-14,chocolate,6,41787
4973,28-May-14,newspapers,3,41787
1602,29-May-14,pip fruit,4,41788
3731,29-May-14,tropical fruit,5,41788
2086,29-May-14,soda,7,41788
1285,29-May-14,tropical fruit,5,41788
3110,29-May-14,root vegetables,8,41788
1529,29-May-14,other vegetables,6,41788
1169,29-May-14,finished products,31,41788
3657,29-May-14,butter,2.5,41788
3204,29-May-14,tropical fruit,5,41788
3193,29-May-14,whole milk,3,41788
1798,29-May-14,beverages,36,41788
4261,29-May-14,root vegetables,8,41788
3922,29-May-14,soda,7,41788
4211,29-May-14,whipped/sour cream,8,41788
1513,29-May-14,whipped/sour cream,8,41788
1653,29-May-14,whole milk,3,41788
4030,29-May-14,butter,2.5,41788
1359,29-May-14,tropical fruit,5,41788
3297,29-May-14,processed cheese,13,41788
3435,29-May-14,hamburger meat,6,41788
2789,29-May-14,yogurt,2.65,41788
4159,29-May-14,other vegetables,6,41788
3584,29-May-14,whipped/sour cream,8,41788
4319,29-May-14,tropical fruit,5,41788
4764,29-May-14,soap,4,41788
1632,29-May-14,root vegetables,8,41788
3098,29-May-14,citrus fruit,4,41788
2727,29-May-14,soda,7,41788
1602,29-May-14,fruit/vegetable juice,11,41788
3731,29-May-14,canned vegetables,8,41788
2086,29-May-14,whole milk,3,41788
1285,29-May-14,chocolate marshmallow,22,41788
3110,29-May-14,herbs,8,41788
1529,29-May-14,margarine,6,41788
1169,29-May-14,newspapers,3,41788
3657,29-May-14,rolls/buns,2,41788
3204,29-May-14,yogurt,2.65,41788
3193,29-May-14,yogurt,2.65,41788
1798,29-May-14,bottled water,3,41788
4261,29-May-14,dessert,11,41788
3922,29-May-14,yogurt,2.65,41788
4211,29-May-14,newspapers,3,41788
1513,29-May-14,sparkling wine,26,41788
1653,29-May-14,long life bakery product,7,41788
4030,29-May-14,margarine,6,41788
1359,29-May-14,frozen fish,16,41788
3297,29-May-14,fruit/vegetable juice,11,41788
3435,29-May-14,pasta,11,41788
2789,29-May-14,bottled beer,31,41788
4159,29-May-14,dishes,7,41788
3584,29-May-14,soft cheese,9,41788
4319,29-May-14,detergent,11,41788
4764,29-May-14,brown bread,1.8,41788
1632,29-May-14,newspapers,3,41788
3098,29-May-14,sugar,16,41788
2727,29-May-14,bottled beer,31,41788
1513,29-May-14,bottled beer,31,41788
1653,29-May-14,margarine,6,41788
2615,29-May-14,chocolate,6,41788
4577,29-May-14,frozen meals,6,41788
1359,29-May-14,soda,7,41788
3297,29-May-14,frozen meals,6,41788
1285,29-May-14,napkins,6,41788
1285,29-May-14,bottled water,3,41788
3110,29-May-14,cereals,10,41788
1529,29-May-14,bottled water,3,41788
1169,29-May-14,whipped/sour cream,8,41788
1359,29-May-14,newspapers,3,41788
3297,29-May-14,cat food,9,41788
2615,29-May-14,rolls/buns,2,41788
4577,29-May-14,soups,8,41788
4261,29-May-14,whisky,28,41788
4917,30-May-14,frankfurter,3,41789
2146,30-May-14,sausage,2.49,41789
2831,30-May-14,soda,7,41789
2219,30-May-14,root vegetables,8,41789
4901,30-May-14,other vegetables,6,41789
4165,30-May-14,rolls/buns,2,41789
3996,30-May-14,whole milk,3,41789
1693,30-May-14,cream cheese ,19,41789
1632,30-May-14,misc. beverages,21,41789
1021,30-May-14,sliced cheese,5,41789
1842,30-May-14,vinegar,7,41789
3481,30-May-14,yogurt,2.65,41789
2201,30-May-14,whole milk,3,41789
4661,30-May-14,whipped/sour cream,8,41789
2350,30-May-14,rolls/buns,2,41789
2857,30-May-14,meat,21,41789
1908,30-May-14,misc. beverages,21,41789
4860,30-May-14,bottled water,3,41789
2773,30-May-14,female sanitary products,6,41789
2612,30-May-14,tropical fruit,5,41789
3917,30-May-14,pip fruit,4,41789
1922,30-May-14,whole milk,3,41789
1125,30-May-14,root vegetables,8,41789
3649,30-May-14,rolls/buns,2,41789
4902,30-May-14,other vegetables,6,41789
4297,30-May-14,other vegetables,6,41789
1050,30-May-14,pasta,11,41789
2111,30-May-14,other vegetables,6,41789
4622,30-May-14,citrus fruit,4,41789
1110,30-May-14,margarine,6,41789
4363,30-May-14,hygiene articles,5,41789
4917,30-May-14,rolls/buns,2,41789
2146,30-May-14,bottled water,3,41789
2831,30-May-14,sliced cheese,5,41789
2219,30-May-14,root vegetables,8,41789
4901,30-May-14,frozen meals,6,41789
4165,30-May-14,other vegetables,6,41789
3996,30-May-14,soda,7,41789
1693,30-May-14,canned beer,4.5,41789
1632,30-May-14,white bread,1.4,41789
1021,30-May-14,butter,2.5,41789
1842,30-May-14,newspapers,3,41789
3481,30-May-14,other vegetables,6,41789
2201,30-May-14,ice cream,16,41789
4661,30-May-14,candy,11,41789
2350,30-May-14,tidbits,27,41789
2857,30-May-14,waffles,7,41789
1908,30-May-14,zwieback,8,41789
4860,30-May-14,fruit/vegetable juice,11,41789
2773,30-May-14,margarine,6,41789
2612,30-May-14,bottled water,3,41789
3917,30-May-14,hard cheese,15,41789
1922,30-May-14,whipped/sour cream,8,41789
1125,30-May-14,margarine,6,41789
3649,30-May-14,soda,7,41789
4902,30-May-14,butter,2.5,41789
4297,30-May-14,rolls/buns,2,41789
1050,30-May-14,yogurt,2.65,41789
2111,30-May-14,bottled beer,31,41789
4622,30-May-14,bottled water,3,41789
1110,30-May-14,yogurt,2.65,41789
4363,30-May-14,coffee,16,41789
2831,30-May-14,butter,2.5,41789
1125,30-May-14,rolls/buns,2,41789
2832,30-May-14,specialty chocolate,21,41789
2120,30-May-14,butter,2.5,41789
1690,30-May-14,brown bread,1.8,41789
4606,30-May-14,long life bakery product,7,41789
1693,30-May-14,waffles,7,41789
3917,30-May-14,detergent,11,41789
4297,30-May-14,brown bread,1.8,41789
1050,30-May-14,cat food,9,41789
2832,30-May-14,bottled water,3,41789
2120,30-May-14,potato products,3,41789
1690,30-May-14,rolls/buns,2,41789
4606,30-May-14,candy,11,41789
2059,31-May-14,ham,11,41790
2025,31-May-14,hamburger meat,6,41790
2055,31-May-14,yogurt,2.65,41790
1948,31-May-14,citrus fruit,4,41790
2336,31-May-14,other vegetables,6,41790
2154,31-May-14,hygiene articles,5,41790
3466,31-May-14,other vegetables,6,41790
4124,31-May-14,fruit/vegetable juice,11,41790
1387,31-May-14,rolls/buns,2,41790
1452,31-May-14,margarine,6,41790
1716,31-May-14,whole milk,3,41790
3980,31-May-14,pip fruit,4,41790
1999,31-May-14,tropical fruit,5,41790
3515,31-May-14,onions,4,41790
3930,31-May-14,tropical fruit,5,41790
3612,31-May-14,other vegetables,6,41790
3362,31-May-14,pip fruit,4,41790
1556,31-May-14,herbs,8,41790
4743,31-May-14,soda,7,41790
2990,31-May-14,cream cheese ,19,41790
1316,31-May-14,bottled beer,31,41790
4567,31-May-14,bottled water,3,41790
2293,31-May-14,pork,9,41790
4985,31-May-14,whole milk,3,41790
2059,31-May-14,domestic eggs,5,41790
2025,31-May-14,pastry,6,41790
2055,31-May-14,rolls/buns,2,41790
1948,31-May-14,yogurt,2.65,41790
2336,31-May-14,shopping bags,1.8,41790
2154,31-May-14,pastry,6,41790
3466,31-May-14,rolls/buns,2,41790
4124,31-May-14,soda,7,41790
1387,31-May-14,soda,7,41790
1452,31-May-14,mayonnaise,5,41790
1716,31-May-14,chocolate,6,41790
3980,31-May-14,soda,7,41790
1999,31-May-14,butter,2.5,41790
3515,31-May-14,brown bread,1.8,41790
3930,31-May-14,curd,4,41790
3612,31-May-14,yogurt,2.65,41790
3362,31-May-14,soda,7,41790
1556,31-May-14,soft cheese,9,41790
4743,31-May-14,napkins,6,41790
2990,31-May-14,UHT-milk,9,41790
1316,31-May-14,curd,4,41790
4567,31-May-14,coffee,16,41790
2293,31-May-14,shopping bags,1.8,41790
4985,31-May-14,dessert,11,41790
1999,31-May-14,dog food,26,41790
4674,31-May-14,bottled water,3,41790
2763,31-May-14,shopping bags,1.8,41790
2445,31-May-14,tropical fruit,5,41790
1883,31-May-14,dishes,7,41790
3466,31-May-14,rolls/buns,2,41790
3645,31-May-14,chocolate,6,41790
3515,31-May-14,canned vegetables,8,41790
3930,31-May-14,brown bread,1.8,41790
3612,31-May-14,other vegetables,6,41790
2154,31-May-14,bottled beer,31,41790
3466,31-May-14,whole milk,3,41790
2025,31-May-14,cake bar,11,41790
2025,31-May-14,brown bread,1.8,41790
2055,31-May-14,soda,7,41790
1948,31-May-14,UHT-milk,9,41790
2336,31-May-14,salty snack,6,41790
3515,31-May-14,canned beer,4.5,41790
3930,31-May-14,pastry,6,41790
3612,31-May-14,flour,21,41790
4674,31-May-14,whole milk,3,41790
2763,31-May-14,canned beer,4.5,41790
2445,31-May-14,ice cream,16,41790
1883,31-May-14,misc. beverages,21,41790
3466,31-May-14,newspapers,3,41790
3645,31-May-14,yogurt,2.65,41790
1387,31-May-14,shopping bags,1.8,41790
1590,1-Jun-14,citrus fruit,4,41791
2949,1-Jun-14,pork,9,41791
2093,1-Jun-14,napkins,6,41791
3111,1-Jun-14,oil,6,41791
1863,1-Jun-14,bottled beer,31,41791
4221,1-Jun-14,bottled water,3,41791
4694,1-Jun-14,tropical fruit,5,41791
4872,1-Jun-14,whole milk,3,41791
1879,1-Jun-14,whole milk,3,41791
3963,1-Jun-14,candy,11,41791
2379,1-Jun-14,berries,7.5,41791
1590,1-Jun-14,newspapers,3,41791
2949,1-Jun-14,other vegetables,6,41791
2093,1-Jun-14,canned vegetables,8,41791
3111,1-Jun-14,UHT-milk,9,41791
1863,1-Jun-14,newspapers,3,41791
4221,1-Jun-14,frozen meals,6,41791
4694,1-Jun-14,whipped/sour cream,8,41791
4872,1-Jun-14,softener,11,41791
1879,1-Jun-14,sugar,16,41791
3963,1-Jun-14,domestic eggs,5,41791
2379,1-Jun-14,brown bread,1.8,41791
4694,1-Jun-14,whipped/sour cream,8,41791
2881,1-Jun-14,butter milk,2.65,41791
1863,1-Jun-14,seasonal products,15,41791
2259,1-Jun-14,processed cheese,13,41791
4872,1-Jun-14,domestic eggs,5,41791
2949,1-Jun-14,shopping bags,1.8,41791
4872,1-Jun-14,soda,7,41791
2881,1-Jun-14,canned vegetables,8,41791
1863,1-Jun-14,bottled water,3,41791
2259,1-Jun-14,roll products ,9,41791
1767,2-Jun-14,frankfurter,3,41792
2093,2-Jun-14,whole milk,3,41792
2199,2-Jun-14,citrus fruit,4,41792
2742,2-Jun-14,coffee,16,41792
4645,2-Jun-14,chewing gum,3,41792
3438,2-Jun-14,citrus fruit,4,41792
2157,2-Jun-14,grapes,8,41792
3468,2-Jun-14,whipped/sour cream,8,41792
4891,2-Jun-14,specialty bar,4,41792
2612,2-Jun-14,white bread,1.4,41792
1932,2-Jun-14,specialty chocolate,21,41792
2807,2-Jun-14,herbs,8,41792
1811,2-Jun-14,canned beer,4.5,41792
2605,2-Jun-14,pork,9,41792
3895,2-Jun-14,cat food,9,41792
1905,2-Jun-14,cat food,9,41792
1011,2-Jun-14,curd cheese,8,41792
